puzzle_id,heuristic,weight,cost,nodes_expanded
1,manhattan,1.0,46,921585
1,manhattan,1.2,46,121871
1,manhattan,2.0,48,1028
1,manhattan,5.0,88,1786
2,manhattan,1.0,48,653289
2,manhattan,1.2,50,123968
2,manhattan,2.0,56,4197
2,manhattan,5.0,86,1154
3,manhattan,1.0,50,1531550
3,manhattan,1.2,50,110227
3,manhattan,2.0,58,6682
3,manhattan,5.0,86,5347
4,manhattan,1.0,43,1398278
4,manhattan,1.2,43,202760
4,manhattan,2.0,45,22143
4,manhattan,5.0,75,2296
5,manhattan,1.0,40,92142
5,manhattan,1.2,40,7199
5,manhattan,2.0,50,24445
5,manhattan,5.0,78,11972
6,manhattan,1.0,44,767081
6,manhattan,1.2,44,77587
6,manhattan,2.0,54,23292
6,manhattan,5.0,78,13166
7,manhattan,1.0,53,1213394
7,manhattan,1.2,57,431741
7,manhattan,2.0,71,18295
7,manhattan,5.0,119,12978
8,manhattan,1.0,52,322339
8,manhattan,1.2,52,54785
8,manhattan,2.0,74,20602
8,manhattan,5.0,118,21549
9,manhattan,1.0,45,348088
9,manhattan,1.2,45,18702
9,manhattan,2.0,55,4701
9,manhattan,5.0,81,490
10,manhattan,1.0,41,578891
10,manhattan,1.2,41,56080
10,manhattan,2.0,41,455
10,manhattan,5.0,71,5696
