Name,V,E,Randomized-1,Simple-Greedy,Semi-Greedy-1 (alpha=0.5),Local-Search (best),Local-Search (avg),GRASP (best),GRASP (avg),GRASP (# iterations),Known-Best
G1,800,19176,9587.7,10956,11161.6,11367,11324.9,11446,11377.26,50,12078
G2,800,19176,9587.9,11030,11194.8,11457,11375.0,11442,11374.52,50,12084
G3,800,19176,9585.07,11012,11167.7,11402,11335.2,11481,11374.32,50,12077
G4,800,19176,9598.7,11031,11174.0,11367,11343.2,11461,11377.32,50,
G5,800,19176,9591.73,10990,11183.7,11430,11357.3,11457,11377.16,50,
G6,800,19176,61.63,1515,1661.0,2007,1875.2,1979,1909.5,50,
G7,800,19176,-75.5,1362,1514.6,1761,1727.1,1807,1744.04,50,
G8,800,19176,-87.47,1331,1501.8,1795,1705.8,1852,1745.26,50,
G9,800,19176,-3.3,1507,1538.3,1788,1753.6,1886,1798.08,50,
G10,800,19176,-71.6,1350,1506.3,1796,1720.4,1818,1738.42,50,
G11,800,1600,16.13,434,467.8,442,428.2,500,478.88,50,627
G12,800,1600,-1.93,418,445.8,440,419.4,492,462.28,50,621
G13,800,1600,18.07,432,474.2,470,433.8,510,491.72,50,645
G14,800,4694,2355.43,2890,2941.4,2940,2925.7,2985,2968.08,50,3187
G15,800,4661,2325.53,2873,2921.3,2927,2910.4,2972,2948.82,50,3169
G16,800,4672,2335.53,2878,2920.3,2930,2905.0,2975,2954.2,50,3172
G17,800,4667,2334.4,2864,2920.5,2927,2913.0,2972,2952.38,50,
G18,800,4694,37.83,780,789.5,902,839.2,892,865.8,50,
G19,800,4661,-59.6,681,699.6,767,741.0,815,777.06,50,
G20,800,4672,-24.93,698,730.7,812,784.6,841,803.76,50,
G21,800,4667,-31.93,704,710.9,805,762.6,858,798.36,50,
G22,2000,19990,9957.4,12346,12678.6,12884,12799.8,13000,12910.0,50,14123
G23,2000,19990,10003.9,12291,12689.5,12870,12802.0,13012,12911.38,50,14129
G24,2000,19990,9975.93,12367,12699.3,12858,12805.3,13008,12915.88,50,14131
G25,2000,19990,10006.3,12408,12687.5,12844,12784.3,12985,12916.16,50,
G26,2000,19990,9997.33,12355,12678.0,12900,12818.4,12994,12907.72,50,
G27,2000,19990,-29.0,2316,2543.3,2894,2804.5,2931,2854.82,50,
G28,2000,19990,-50.23,2329,2519.2,2801,2767.7,2880,2812.7,50,
G29,2000,19990,32.47,2367,2597.5,2917,2865.7,3017,2926.48,50,
G30,2000,19990,72.23,2401,2600.8,2960,2873.9,3048,2929.56,50,
G31,2000,19990,-46.33,2290,2545.2,2849,2746.8,2919,2841.04,50,
G32,2000,4000,12.67,1058,1142.8,1066,1046.0,1218,1184.04,50,1560
G33,2000,4000,-13.2,1000,1143.6,1044,1023.4,1200,1166.8,50,1537
G34,2000,4000,-19.47,988,1135.8,1052,1023.0,1198,1168.32,50,1541
G35,2000,11778,5887.07,7252,7375.7,7373,7333.7,7481,7446.4,50,8000
G36,2000,11766,5893.17,7225,7355.3,7354,7326.3,7456,7433.74,50,7996
G37,2000,11785,5887.1,7264,7368.8,7376,7346.1,7476,7444.96,50,8009
G38,2000,11779,5890.5,7305,7371.0,7381,7333.8,7470,7438.88,50,
G39,2000,11778,11.53,1861,1826.6,2061,2012.5,2124,2053.76,50,
G40,2000,11766,-47.37,1834,1864.5,2025,1951.1,2124,2060.04,50,
G41,2000,11785,-14.1,1876,1891.5,2043,1979.0,2134,2068.2,50,
G42,2000,11779,65.97,1989,1890.8,2106,2047.3,2230,2135.3,50,
G43,1000,9990,4987.03,6188,6325.7,6450,6385.4,6508,6446.48,50,7027
G44,1000,9990,5007.2,6157,6322.1,6416,6375.8,6496,6441.68,50,7022
G45,1000,9990,4995.13,6179,6329.7,6408,6375.9,6491,6440.7,50,7020
G46,1000,9990,4996.7,6150,6323.2,6445,6373.4,6477,6437.78,50,
G47,1000,9990,4987.37,6220,6333.9,6438,6401.6,6501,6448.36,50,
G48,3000,6000,3003.6,6000,6000.0,5060,4961.4,6000,6000.0,50,6000
G49,3000,6000,2995.87,6000,6000.0,5032,4965.6,6000,6000.0,50,6000
G50,3000,6000,3003.33,5880,5860.0,5048,4993.6,5870,5860.04,50,5988
G51,1000,5909,2949.47,3626,3690.0,3704,3677.6,3754,3730.38,50,
G52,1000,5916,2957.37,3650,3695.8,3690,3673.6,3752,3731.7,50,
G53,1000,5914,2957.07,3632,3685.4,3692,3677.0,3749,3728.56,50,
G54,1000,5916,2964.37,3633,3689.9,3683,3664.6,3750,3729.96,50,
