MAX-CUT results - raw values

Graph    KnownBest    Random    Greedy   SemiGry     LocalSrch    GRASPbst     GRASPavg      Avg/Best
G33           1537     -13.2    1000.0    1143.6        1044.0      1200.0       1166.8         0.972
G15           3169    2325.5    2873.0    2921.3        2927.0      2972.0       2948.8         0.992
G45           7020    4995.1    6179.0    6329.7        6408.0      6491.0       6440.7         0.992
G23          14129   10003.9   12291.0   12689.5       12870.0     13012.0      12911.4         0.992
G48           6000    3003.6    6000.0    6000.0        5060.0      6000.0       6000.0         1.000

MAX-CUT results, scaled to known best (1.0 = matches known best)

Graph    KnownBest    Random    Greedy   SemiGry     LocalSrch    GRASPbst     GRASPavg      Avg/Best
G33           1537    -0.009     0.651     0.744         0.679       0.781        0.759         0.972
G15           3169     0.734     0.907     0.922         0.924       0.938        0.931         0.992
G45           7020     0.712     0.880     0.902         0.913       0.925        0.917         0.992
G23          14129     0.708     0.870     0.898         0.911       0.921        0.914         0.992
G48           6000     0.501     1.000     1.000         0.843       1.000        1.000         1.000
